track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,predicted_genre_id,predicted_genre,predicted_genre_prob,predicted_classical_prob,predicted_k-pop_prob,predicted_lo-fi_prob,predicted_pop_prob,predicted_rnb_prob,predicted_tiktok_prob,cosine_dist,cosine_dist_mod
2FpJL9TwVqUgsRdmMA4PED,Wala Nang Kulang Pa,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4aTjEtidxvtjqo7SQqSCky,216320,28/08/2014,43,0.666,0.679,4,0.746366428,1,0.122,0.479,0,0.33,0.511,0.562128503,5,tiktok,0.428778815,0.007319093,0.014503688,0.23111619,0.115190393,0.166919167,0.464951469,0.084016684,0.133435599
1RGIjMFMgJxkZHMDXVYzOJ,Bartender (feat. Akon),3aQeKQSyrW4qWr35idm0cy,T-Pain,6CrSEKCF4TYrbSIitegb3h,238800,05/06/2007,73,0.832,0.391,8,0.644667349,1,0.0628,0.0564,0,0.224,0.436,0.322358139,4,rnb,0.428722382,0.004979915,0.162489222,0.013908138,0.365109842,0.129453966,0.324058916,0.091685091,0.087628264
1pi3VCMlGVaXvrjlVOkBPN,KLWKN,52gTrzyF0DyfkFl1DQz9Oq,Music Hero,1TmGJJPRkYoxPEAo0xFnQV,256572,31/01/2019,68,0.493,0.394,2,0.706366428,1,0.0366,0.575,0,0.267,0.375,0.611981442,3,pop,0.428586437,0.003175555,0.158067202,0.030561435,0.367249294,0.237677915,0.2032686,0.175338112,0.159794294
4ZUfbHQOBeEOyf6EArWXA3,Bed (feat. Ariana Grande),0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,0lTITMMow967CF9LJmVkzt,189533,09/08/2018,37,0.767,0.721,7,0.733265097,1,0.185,0.0308,0.000295,0.128,0.471,0.23017758,4,rnb,0.428583936,0.001810154,0.012620968,0.177388526,0.046946699,0.416951534,0.34428212,0.018488332,0.096714473
7D4rSZoga8hqJqNOVcPde1,If We Fall in Love,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,20RBKgpWWNoA2xo7CRZfO5,246680,19/01/2007,54,0.568,0.382,5,0.587267144,1,0.0285,0.782,1.03E-05,0.0945,0.3,0.538481891,2,lo-fi,0.428577717,0.207950804,0.010048927,0.428577717,0.101860143,0.087435228,0.16412718,0.240359364,0.296421361
3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),2WgfkM8S11vg4kxLgDY3F5,StarBoi3,5gH9EDMWWiLEplNCLb1r7l,175238,23/04/2021,85,0.647,0.608,9,0.713162743,1,0.42,0.13,0,0.0584,0.474,0.451777649,5,tiktok,0.428386078,0.046364397,0.008655321,0.09542942,0.084823545,0.420093444,0.344633874,0.042915808,0.108274297
3dG6tjetoR4GMmUGZUprLt,Wouldn't Leave,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,5EBGCvO6upi3GNknMVe9x9,205546,01/06/2018,0,0.555,0.433,3,0.642415558,1,0.546,0.494,0,0.313,0.352,0.687086969,2,lo-fi,0.42822,0.014313727,0.038401864,0.031799651,0.614046643,0.101833918,0.199604196,0.185802941,0.16276966
3qCeq0rWK67SoBDgFd2sId,Feliz Navidad,7K78lVZ8XzkjfRSI7570FF,José Feliciano,6leYmQzvQjlUtmpNIL9XYQ,182306,24/09/2001,42,0.514,0.818,2,0.598075742,1,0.0451,0.406,1.93E-06,0.299,0.967,0.591694458,2,lo-fi,0.428186957,0.002690042,0.020694881,0.106859973,0.211610696,0.172863723,0.485280685,0.106502354,0.133282465
3yr11TfbWzmFe0FnIHHEDY,Weak,5xuNBZoM7z1Vv8IQ6uM0p6,JoJo,6IyAFxG9HItYtyHM1u5jhI,290666,01/01/2004,0,0.766,0.324,10,0.570726714,1,0.0849,0.22,0,0.122,0.512,0.451599207,4,rnb,0.428121167,0.006445578,0.246564611,0.017737725,0.300321635,0.145463103,0.283467348,0.117424036,0.114441166
6LM8MeuL0otvdufEVtaxCP,Plot Twist,4TrraAsitQKl821DQY42cZ,Sigrid,5BPGgAOGNXjXskU4DVbjl4,205133,21/04/2017,0,0.49,0.67,1,0.747021494,1,0.0396,0.00286,0.135,0.283,0.196,0.759078994,5,tiktok,0.42810109,0.011658113,0.004551738,0.382170067,0.092382892,0.0811361,0.42810109,0.115493342,0.182209516
